code,name,market,big_theme,primary_theme,secondary_theme_1,secondary_theme_2,secondary_theme_3,industry,legacy_theme_count,legacy_theme_all,event_theme_all,classification_source,confidence
054210,이랜텍,KOSDAQ,2차전지·전기차,무선충전기술,전력저장장치(ESS),2차전지(소재/부품),2차전지,핸드셋,8,2차전지 | 2차전지(소재/부품) | 가상현실(VR) | 갤럭시 부품주 | 메타버스(Metaverse) | 무선충전기술 | 전력저장장치(ESS) | 증강현실(AR),,legacy_theme,높음
061040,알에프텍,KOSDAQ,2차전지·전기차,무선충전기술,LED,5G(5세대 이동통신),보톡스(보툴리눔톡신),핸드셋,7,5G(5세대 이동통신) | LED | 갤럭시 부품주 | 무선충전기술 | 보톡스(보툴리눔톡신) | 삼성페이 | 스마트폰,,legacy_theme,높음
089010,켐트로닉스,KOSDAQ,2차전지·전기차,무선충전기술,유리 기판,자율주행차,전자파,전자장비와기기,7,갤럭시 부품주 | 무선충전기술 | 스마트폰 | 유리 기판 | 자율주행차 | 전자파 | 폴더블폰,,legacy_theme,높음
357580,아모센스,KOSDAQ,2차전지·전기차,무선충전기술,고체산화물 연료전지(SOFC),페라이트,,핸드셋,3,고체산화물 연료전지(SOFC) | 무선충전기술 | 페라이트,,legacy_theme,높음
459100,위츠,KOSDAQ,2차전지·전기차,무선충전기술,전기차(충전소/충전기),,,핸드셋,2,무선충전기술 | 전기차(충전소/충전기),,legacy_theme,높음
012860,모베이스전자,KOSDAQ,2차전지·전기차,전기차,자동차부품,리비안(RIVIAN),,자동차부품,3,리비안(RIVIAN) | 자동차부품 | 전기차,,legacy_theme,높음
024910,경창산업,KOSDAQ,2차전지·전기차,전기차,자동차부품,,,자동차부품,2,자동차부품 | 전기차,,legacy_theme,높음
033310,엠투엔,KOSDAQ,2차전지·전기차,전기차,,,,자동차부품,1,전기차,,legacy_theme,높음
038110,에코플라스틱,KOSDAQ,2차전지·전기차,전기차,자동차부품,탈 플라스틱(친환경/생분해성 등),,자동차부품,3,자동차부품 | 전기차 | 탈 플라스틱(친환경/생분해성 등),,legacy_theme,높음
090150,아이윈,KOSDAQ,2차전지·전기차,전기차,자동차부품,,,자동차부품,2,자동차부품 | 전기차,,legacy_theme,높음
